Drug name,Drug ID,Drug target,Target Pathway,Feature Name,n_feature_pos,n_feature_neg,ic50_effect_size,log_ic50_mean_pos,log_ic50_mean_neg,log_max_conc_tested,log_max_conc_tested_2,feature_ic50_t_pval,feature_delta_mean_ic50,feature_pos_ic50_var,feature_neg_ic50_var,feature_pval,tissue_pval,msi_pval,fdr,Tissue Type,Screening Set
"Cisplatin","1005","DNA crosslinker","DNA replication","cnaLUAD5","4","47",".41003435592538723","3.5882256813337881","4.209634794893244","","",".58808392822335875","-.62140911355945594","2.029630158410531","1.4757666984048305",".43492552780587934","","","62.132218257982785","LUAD","GDSC2"
"Cisplatin","1005","DNA crosslinker","DNA replication","cnaLUAD6","4","47",".12507409988056961","4.3365784564544354","4.1459451970106356","","",".80504014587495154",".19063325944379983","1.3661161039506042","1.5339043912474006",".81122494770975218","","","81.122494770975237","LUAD","GDSC2"
"Cisplatin","1005","DNA crosslinker","DNA replication","cnaLUAD7","4","47",".6227149707628179","5.023596512856022","4.0874755751892238","","",".12336889045107939",".93612093766679827",".89178437373473751","1.534730276224691",".23760977315565432","","","62.132218257982785","LUAD","GDSC2"
"Cisplatin","1005","DNA crosslinker","DNA replication","cnaLUAD10","6","45",".049376954486766926","4.0944619483589859","4.1697548087814145","","",".91307498824163513","-.075292860422428554","1.5259097089881941","1.5247388106689879",".91001024081729343","","","82.729629814354993","LUAD","GDSC2"
"Cisplatin","1005","DNA crosslinker","DNA replication","cnaLUAD11","9","42",".32314859114874678","4.5635813634855209","4.0746072812844742","","",".36873264907742398",".48897408220104666","1.4035507860585061","1.5336287815994167",".38328493992221557","","","62.132218257982785","LUAD","GDSC2"
"Cisplatin","1005","DNA crosslinker","DNA replication","cnaLUAD12","3","48",".76298401318237918","3.0836666620155264","4.2282237104014797","","",".014149638654456792","-1.1445570483859533",".43826630137926953","1.5290203872327766",".20585107385535642","","","62.132218257982785","LUAD","GDSC2"
"Cisplatin","1005","DNA crosslinker","DNA replication","cnaLUAD13","5","46",".1653120233808851","4.3880052822243547","4.1362111233520835","","",".6464295731607258",".25179415887227119","1.0485325937701884","1.5583528391612969",".72704714726357444","","","75.211773854852552","LUAD","GDSC2"
"Cisplatin","1005","DNA crosslinker","DNA replication","cnaLUAD14","6","45",".36403124491551864","3.6745112624512157","4.2257482335691181","","",".28760302298434298","-.55123697111790237","1.0435596174349282","1.5587779335011673",".4063236928302747","","","62.132218257982785","LUAD","GDSC2"
"Cisplatin","1005","DNA crosslinker","DNA replication","cnaLUAD15","5","46",".61863302604533177","4.9972514566362598","4.0699887130899199","","",".10822547263905348",".92726274354633986",".98721221716386409","1.5361460558984346",".19504908198295656","","","62.132218257982785","LUAD","GDSC2"
"Cisplatin","1005","DNA crosslinker","DNA replication","cnaLUAD16","5","46",".7175957346091274","5.1253900928219007","4.0560606004610467","","",".13762035355305913","1.0693294923608541","1.2745858701179358","1.5078268687998728",".13396036528771146","","","62.132218257982785","LUAD","GDSC2"
"Cisplatin","1005","DNA crosslinker","DNA replication","cnaLUAD17","4","47",".62944929587094123","3.2891361406649517","4.2350892238863356","","",".083007951145316228","-.94595308322138383",".76784430498645195","1.538612676670073",".23264641949720255","","","62.132218257982785","LUAD","GDSC2"
"Cisplatin","1005","DNA crosslinker","DNA replication","cnaLUAD18","6","45",".04098234623745458","4.2160393243154521","4.15354449198722","","",".93174189792013307",".062494832328232164","1.6251171715587907","1.5131150904894006",".92525851353326816","","","82.729629814354993","LUAD","GDSC2"
"Cisplatin","1005","DNA crosslinker","DNA replication","cnaLUAD19","5","46",".41021887850374994","3.6009424923178601","4.2217614266027894","","",".29442788152836991","-.62081893428492929","1.0937756206802733","1.5451784099097465",".38791885364455225","","","62.132218257982785","LUAD","GDSC2"
"Cisplatin","1005","DNA crosslinker","DNA replication","cnaLUAD21","5","46",".5265681385931622","4.8761453641453034","4.0831524187954589","","",".39640358324659442",".79299294534984455","1.8331101709436064","1.4733737490821293",".26891873274850936","","","62.132218257982785","LUAD","GDSC2"
